variant,brand,notes,image url
Tihota Eau de Parfum,Indult,"[{""id"": 1, ""nama"": ""vanilla bean""}, {""id"": 2, ""nama"": ""musk""}]",https://static.luckyscent.com/images/products/37401.jpg?width=400&404=product.png
Sola Parfum,Di Ser,"[{""id"": 3, ""nama"": ""lavender""}, {""id"": 4, ""nama"": ""yuzu""}, {""id"": 5, ""nama"": ""lemongrass""}, {""id"": 6, ""nama"": ""magnolia""}, {""id"": 7, ""nama"": ""geranium""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 9, ""nama"": ""frankincense""}, {""id"": 10, ""nama"": ""myrrh""}]",https://static.luckyscent.com/images/products/788011.jpg?width=400&404=product.png
Kagiroi Parfum,Di Ser,"[{""id"": 11, ""nama"": ""green yuzu""}, {""id"": 12, ""nama"": ""green shikuwasa""}, {""id"": 13, ""nama"": ""sansho seed""}, {""id"": 14, ""nama"": ""coriander""}, {""id"": 15, ""nama"": ""ylang-ylang""}, {""id"": 16, ""nama"": ""shiso""}, {""id"": 17, ""nama"": ""rosewood""}, {""id"": 18, ""nama"": ""vetiver""}, {""id"": 19, ""nama"": ""hinoki""}, {""id"": 20, ""nama"": ""cypriol""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 22, ""nama"": ""agarwood""}]",https://static.luckyscent.com/images/products/788012.jpg?width=400&404=product.png
Velvet Fantasy Eau de Parfum,Montale,"[{""id"": 23, ""nama"": ""tangerine""}, {""id"": 24, ""nama"": ""pink pepper""}, {""id"": 25, ""nama"": ""black coffee""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 27, ""nama"": ""violet""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 28, ""nama"": ""lily of the valley""}, {""id"": 29, ""nama"": ""heliotrope powder""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 33, ""nama"": ""toffee""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 34, ""nama"": ""oakmoss""}]",https://static.luckyscent.com/images/products/354013.jpg?width=400&404=product.png
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire,"[{""id"": 35, ""nama"": ""bergamot""}, {""id"": 36, ""nama"": ""almond""}, {""id"": 27, ""nama"": ""violet""}, {""id"": 8, ""nama"": ""jasmine""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 37, ""nama"": ""tonka""}]",https://static.luckyscent.com/images/products/56719.jpg?width=400&404=product.png
Freckled and Beautiful Eau de Parfum,A Lab on Fire,"[{""id"": 38, ""nama"": ""orange flower""}, {""id"": 39, ""nama"": ""neroli""}, {""id"": 40, ""nama"": ""honeysuckle""}, {""id"": 41, ""nama"": ""warm milk""}, {""id"": 42, ""nama"": ""pastry""}, {""id"": 43, ""nama"": ""salicylates""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 1, ""nama"": ""vanilla bean""}, {""id"": 44, ""nama"": ""heliotrope""}]",https://static.luckyscent.com/images/products/56720.jpg?width=400&404=product.png
Exit the King Eau de Parfum,Etat Libre d'Orange,"[{""id"": 45, ""nama"": ""timur je""}, {""id"": 46, ""nama"": ""soap foam accord (aldehydes & musk)""}, {""id"": 24, ""nama"": ""pink pepper""}, {""id"": 47, ""nama"": ""jasmine e-pure""}, {""id"": 48, ""nama"": ""rose superessence""}, {""id"": 49, ""nama"": ""lily-of-the-valley accord""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 50, ""nama"": ""moss absolute""}, {""id"": 51, ""nama"": ""sandalwood accord & orcanox""}]",https://static.luckyscent.com/images/products/477053.jpg?width=400&404=product.png
Eshu Extrait,PRIN,"[{""id"": 52, ""nama"": ""tobacco""}, {""id"": 53, ""nama"": ""hay""}, {""id"": 54, ""nama"": ""elemi""}, {""id"": 55, ""nama"": ""copaiba""}, {""id"": 56, ""nama"": ""olibanum""}, {""id"": 57, ""nama"": ""nutmeg""}, {""id"": 58, ""nama"": ""black pepper""}, {""id"": 59, ""nama"": ""castoreum""}, {""id"": 60, ""nama"": ""atlas cedar""}, {""id"": 34, ""nama"": ""oakmoss""}, {""id"": 61, ""nama"": ""cognac""}, {""id"": 62, ""nama"": ""ambroxan""}, {""id"": 63, ""nama"": ""norlimbanol""}, {""id"": 64, ""nama"": ""cinnamon""}, {""id"": 65, ""nama"": ""cumin seed""}, {""id"": 66, ""nama"": ""ash""}]",https://static.luckyscent.com/images/products/847005.jpg?width=400&404=product.png
Saringkarn Extrait,PRIN,"[{""id"": 67, ""nama"": ""saffron""}, {""id"": 68, ""nama"": ""champaca""}, {""id"": 69, ""nama"": ""fir balsam""}, {""id"": 70, ""nama"": ""beeswax""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 71, ""nama"": ""damask rose""}, {""id"": 72, ""nama"": ""rose de mai""}, {""id"": 52, ""nama"": ""tobacco""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 73, ""nama"": ""dark chocolate""}, {""id"": 74, ""nama"": ""prune""}, {""id"": 75, ""nama"": ""oud""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 34, ""nama"": ""oakmoss""}, {""id"": 76, ""nama"": ""ambrette""}, {""id"": 77, ""nama"": ""smoke""}, {""id"": 78, ""nama"": ""incense""}, {""id"": 79, ""nama"": ""ylang ylang""}]",https://static.luckyscent.com/images/products/847006.jpg?width=400&404=product.png
Arsalan Parfum,PRIN,"[{""id"": 80, ""nama"": ""cambodian oud""}, {""id"": 81, ""nama"": ""trat oud""}, {""id"": 82, ""nama"": ""jasmin sambac""}, {""id"": 68, ""nama"": ""champaca""}, {""id"": 56, ""nama"": ""olibanum""}, {""id"": 83, ""nama"": ""turmeric""}, {""id"": 84, ""nama"": ""clove""}, {""id"": 85, ""nama"": ""caraway""}, {""id"": 86, ""nama"": ""cardamom""}, {""id"": 64, ""nama"": ""cinnamon""}, {""id"": 87, ""nama"": ""cumin""}, {""id"": 14, ""nama"": ""coriander""}, {""id"": 88, ""nama"": ""gardenia""}, {""id"": 89, ""nama"": ""opoponax""}, {""id"": 67, ""nama"": ""saffron""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 2, ""nama"": ""musk""}]",https://static.luckyscent.com/images/products/847007.jpg?width=400&404=product.png
